Senator1,Senator2,weight
15015,41700,634
15015,41702,636
15015,41703,166
15015,41706,627
15015,41707,154
15015,41900,72
15015,41901,72
15015,41902,230
15015,41903,74
15015,41905,615
15015,42100,100
15015,42101,626
15015,42102,67
15015,42103,630
15015,42104,608
15015,42105,617
15015,42300,113
15015,42301,508
15015,42302,150
15015,42303,73
15015,42304,84
15015,42305,382
15015,42306,71
15015,49300,126
15015,49308,630
15015,49703,452
15015,90915,70
15015,91300,547
15021,15408,573
15021,20101,131
15021,20146,185
15021,20330,575
15021,20351,75
15021,20707,597
15021,20713,592
15021,20735,580
15021,20750,584
15021,20919,157
15021,20923,585
15021,20930,590
15021,20932,587
15021,20953,102
15021,21133,203
15021,21166,120
15021,21173,69
15021,21301,111
15021,21325,584
15021,21338,102
15021,21350,153
15021,21355,113
15021,21708,100
15021,21734,82
15021,21743,576
15021,29142,590
15021,29147,503
15021,29345,112
15021,29373,446
15021,29389,575
15021,29534,155
15021,29566,286
15021,29722,166
15021,29732,576
15021,29754,132
15021,29940,589
15021,39310,586
15021,40300,378
15021,40305,159
15021,40700,576
15021,40702,548
15021,40703,580
15021,40704,583
15021,40707,97
15021,40902,100
15021,40906,582
15021,40908,572
15021,40909,569
15021,40910,585
15021,40915,368
15021,40916,567
15021,41101,586
15021,41102,98
15021,41104,77
15021,41107,125
15021,41110,58
15021,41111,84
15021,41112,585
15021,41300,589
15021,41301,578
15021,41302,117
15021,41304,80
15021,41305,580
15021,41308,559
15021,41500,116
15021,41502,122
15021,41504,222
15021,41505,222
15021,41700,583
15021,41702,583
15021,41703,151
15021,41706,578
15021,41707,126
15021,41900,66
15021,41901,58
15021,41902,201
15021,41903,60
15021,41905,561
15021,42100,83
15021,42101,575
15021,42102,62
15021,42103,581
15021,42104,559
15021,42105,576
15021,42300,88
15021,42301,484
15021,42302,130
15021,42303,56
15021,42304,70
15021,42305,383
15021,42306,70
15021,49300,112
15021,49308,584
15021,49703,402
15021,90915,64
15021,91300,506
15408,20101,149
15408,20146,192
15408,20330,605
15408,20351,84
15408,20707,615
15408,20713,610
15408,20735,618
15408,20750,599
15408,20919,184
15408,20923,615
15408,20930,617
15408,20932,612
15408,20953,110
15408,21133,221
15408,21166,137
15408,21173,55
15408,21301,127
15408,21325,623
15408,21338,112
15408,21350,145
15408,21355,131
15408,21708,121
15408,21734,89
15408,21743,608
15408,29142,625
15408,29147,517
15408,29345,127
15408,29373,469
15408,29389,598
15408,29534,173
15408,29566,313
15408,29722,179
15408,29732,606
15408,29754,146
15408,29940,608
15408,39310,611
15408,40300,393
15408,40305,171
15408,40700,611
15408,40702,565
15408,40703,606
15408,40704,615
15408,40707,104
15408,40902,118
15408,40906,595
15408,40908,584
15408,40909,611
15408,40910,616
15408,40915,388
15408,40916,597
15408,41101,623
15408,41102,118
15408,41104,76
15408,41107,123
15408,41110,74
15408,41111,92
15408,41112,616
15408,41300,600
15408,41301,597
15408,41302,131
15408,41304,91
15408,41305,615
15408,41308,591
15408,41500,120
15408,41502,139
15408,41504,228
15408,41505,237
15408,41700,613
15408,41702,615
15408,41703,162
15408,41706,606
15408,41707,146
15408,41900,73
15408,41901,77
15408,41902,218
15408,41903,68
15408,41905,596
15408,42100,93
15408,42101,605
15408,42102,63
15408,42103,609
15408,42104,587
15408,42105,596
15408,42300,104
15408,42301,491
